CompoundID,CompoundName
25-hydroxycholecalciferol__Pp,25-hydroxycholecalciferol
ASG.28:2;O;Hex;FA.21:3__Pp,ASG 28:2;O;Hex;FA 21:3
C17-carnitine(d3)__Pp,C17-carnitine(d3)
CE_d7.17:1__Pp,CE_d7 17:1
CE.14:1__Pp,CE 14:1
CE.16:1__Pp,CE 16:1
CE.22:1__Pp,CE 22:1
CE.24:1__Pp,CE 24:1
Cer_ADS.d16:0_13:0__Np,Cer_ADS d16:0_13:0
Cer_ADS.d16:0_14:0__Np,Cer_ADS d16:0_14:0
Cer_ADS.d16:0_14:0__Np,Cer_ADS d16:0_14:0
Cer_ADS.d16:0_16:0__Np,Cer_ADS d16:0_16:0
Cer_ADS.d16:0_16:0__Np,Cer_ADS d16:0_16:0
Cer_ADS.d16:0_24:0__Np,Cer_ADS d16:0_24:0
Cer_ADS.d16:0_24:0_1__Np,Cer_ADS d16:0_24:0_1
Cer_ADS.d17:0_14:0__Np,Cer_ADS d17:0_14:0
Cer_ADS.d17:0_16:0__Np,Cer_ADS d17:0_16:0
Cer_ADS.d17:0_16:0__Np,Cer_ADS d17:0_16:0
Cer_ADS.d18:0_16:0__Np,Cer_ADS d18:0_16:0
Cer_ADS.d18:0_16:0__Np,Cer_ADS d18:0_16:0
Cer_ADS.d18:0_25:0__Np,Cer_ADS d18:0_25:0
Cer_ADS.d19:0_16:0__Np,Cer_ADS d19:0_16:0
Cer_ADS.d19:0_16:0__Np,Cer_ADS d19:0_16:0
Cer_ADS.d19:0_26:0__Np,Cer_ADS d19:0_26:0
Cer_ADS.d19:0_29:0__Np,Cer_ADS d19:0_29:0
Cer_ADS.d20:0_22:0__Np,Cer_ADS d20:0_22:0
Cer_ADS.d20:0_24:0__Np,Cer_ADS d20:0_24:0
Cer_ADS.d21:0_18:0__Np,Cer_ADS d21:0_18:0
Cer_ADS.d22:0_14:0__Np,Cer_ADS d22:0_14:0
Cer_ADS.d22:0_14:0__Np,Cer_ADS d22:0_14:0
Cer_ADS.d22:0_16:0__Np,Cer_ADS d22:0_16:0
Cer_ADS.d23:0_13:0__Np,Cer_ADS d23:0_13:0
Cer_ADS.d26:0_13:0__Np,Cer_ADS d26:0_13:0
Cer_ADS.d26:0_15:1__Np,Cer_ADS d26:0_15:1
Cer_ADS.d30:0__Np,Cer_ADS d30:0
Cer_ADS.d30:0_21:0__Np,Cer_ADS d30:0_21:0
Cer_ADS.d30:0_22:1__Np,Cer_ADS d30:0_22:1
Cer_ADS.d31:0__Np,Cer_ADS d31:0
Cer_ADS.d31:0_1__Np,Cer_ADS d31:0_1
Cer_ADS.d32:0__Np,Cer_ADS d32:0
Cer_ADS.d32:0__Np,Cer_ADS d32:0
Cer_ADS.d32:1__Np,Cer_ADS d32:1
Cer_ADS.d33:0__Np,Cer_ADS d33:0
Cer_ADS.d33:1__Np,Cer_ADS d33:1
Cer_ADS.d34:1__Np,Cer_ADS d34:1
Cer_ADS.d36:0__Np,Cer_ADS d36:0
Cer_ADS.d36:0__Np,Cer_ADS d36:0
Cer_ADS.d37:0__Np,Cer_ADS d37:0
Cer_ADS.d37:0__Np,Cer_ADS d37:0
Cer_ADS.d37:0_1__Np,Cer_ADS d37:0_1
Cer_ADS.d37:0_2__Np,Cer_ADS d37:0_2
Cer_ADS.d38:0__Np,Cer_ADS d38:0
Cer_ADS.d38:0__Np,Cer_ADS d38:0
Cer_ADS.d38:0_1__Np,Cer_ADS d38:0_1
Cer_ADS.d38:0_1__Np,Cer_ADS d38:0_1
Cer_ADS.d38:1__Np,Cer_ADS d38:1
Cer_ADS.d39:0__Np,Cer_ADS d39:0
Cer_ADS.d39:0__Np,Cer_ADS d39:0
Cer_ADS.d39:0_1__Np,Cer_ADS d39:0_1
Cer_ADS.d40:0__Np,Cer_ADS d40:0
Cer_ADS.d40:0__Np,Cer_ADS d40:0
Cer_ADS.d40:0_1__Np,Cer_ADS d40:0_1
Cer_ADS.d40:1__Np,Cer_ADS d40:1
Cer_ADS.d40:1_1__Np,Cer_ADS d40:1_1
Cer_ADS.d41:0__Np,Cer_ADS d41:0
Cer_ADS.d41:0__Np,Cer_ADS d41:0
Cer_ADS.d41:0_1__Np,Cer_ADS d41:0_1
Cer_ADS.d41:0_1__Np,Cer_ADS d41:0_1
Cer_ADS.d41:0_2__Np,Cer_ADS d41:0_2
Cer_ADS.d41:1__Np,Cer_ADS d41:1
Cer_ADS.d41:1__Np,Cer_ADS d41:1
Cer_ADS.d42:0__Np,Cer_ADS d42:0
Cer_ADS.d42:0__Np,Cer_ADS d42:0
Cer_ADS.d42:0_1__Np,Cer_ADS d42:0_1
Cer_ADS.d42:0_2__Np,Cer_ADS d42:0_2
Cer_ADS.d42:1__Np,Cer_ADS d42:1
Cer_ADS.d42:1__Np,Cer_ADS d42:1
Cer_ADS.d42:1_1__Np,Cer_ADS d42:1_1
Cer_ADS.d43:0__Np,Cer_ADS d43:0
Cer_ADS.d44:0__Np,Cer_ADS d44:0
Cer_ADS.d44:0__Np,Cer_ADS d44:0
Cer_ADS.d44:0_1__Np,Cer_ADS d44:0_1
Cer_ADS.d44:1__Np,Cer_ADS d44:1
Cer_ADS.d45:0__Np,Cer_ADS d45:0
Cer_ADS.d45:0__Np,Cer_ADS d45:0
Cer_ADS.d45:1__Np,Cer_ADS d45:1
Cer_ADS.d45:1__Np,Cer_ADS d45:1
Cer_ADS.d46:0__Np,Cer_ADS d46:0
Cer_ADS.d46:0__Np,Cer_ADS d46:0
Cer_ADS.d46:0_1__Np,Cer_ADS d46:0_1
Cer_ADS.d46:1__Np,Cer_ADS d46:1
Cer_ADS.d46:1_1__Np,Cer_ADS d46:1_1
Cer_ADS.d47:0__Np,Cer_ADS d47:0
Cer_ADS.d47:0__Np,Cer_ADS d47:0
Cer_ADS.d47:0_1__Np,Cer_ADS d47:0_1
Cer_ADS.d47:0_1__Np,Cer_ADS d47:0_1
Cer_ADS.d47:1__Np,Cer_ADS d47:1
Cer_ADS.d48:0__Np,Cer_ADS d48:0
Cer_ADS.d48:1__Np,Cer_ADS d48:1
Cer_ADS.d48:2__Np,Cer_ADS d48:2
Cer_ADS.d49:0__Np,Cer_ADS d49:0
Cer_ADS.d49:0__Np,Cer_ADS d49:0
Cer_ADS.d49:1__Np,Cer_ADS d49:1
Cer_ADS.d50:0__Np,Cer_ADS d50:0
Cer_ADS.d50:1__Np,Cer_ADS d50:1
Cer_ADS.d50:1__Np,Cer_ADS d50:1
Cer_ADS.d50:2__Np,Cer_ADS d50:2
Cer_ADS.d51:0__Np,Cer_ADS d51:0
Cer_ADS.d52:1__Np,Cer_ADS d52:1
Cer_ADS.d54:2__Np,Cer_ADS d54:2
Cer_AP.t15:1_18:1__Np,Cer_AP t15:1_18:1
Cer_AP.t16:0_13:0__Np,Cer_AP t16:0_13:0
Cer_AP.t16:0_14:0__Np,Cer_AP t16:0_14:0
Cer_AP.t16:0_20:0__Np,Cer_AP t16:0_20:0
Cer_AP.t16:0_20:0__Np,Cer_AP t16:0_20:0
Cer_AP.t16:0_24:0__Np,Cer_AP t16:0_24:0
Cer_AP.t16:0_26:2__Np,Cer_AP t16:0_26:2
Cer_AP.t17:0_14:0__Np,Cer_AP t17:0_14:0
Cer_AP.t17:0_14:0__Np,Cer_AP t17:0_14:0
Cer_AP.t17:0_15:0__Np,Cer_AP t17:0_15:0
Cer_AP.t17:0_16:0__Np,Cer_AP t17:0_16:0
Cer_AP.t17:0_20:0__Np,Cer_AP t17:0_20:0
Cer_AP.t17:0_20:0__Np,Cer_AP t17:0_20:0
Cer_AP.t17:0_22:2__Np,Cer_AP t17:0_22:2
Cer_AP.t17:0_24:0__Np,Cer_AP t17:0_24:0
Cer_AP.t17:0_24:0__Np,Cer_AP t17:0_24:0
Cer_AP.t17:0_24:0_1__Np,Cer_AP t17:0_24:0_1
Cer_AP.t17:0_24:1__Np,Cer_AP t17:0_24:1
Cer_AP.t17:0_24:1__Np,Cer_AP t17:0_24:1
Cer_AP.t17:0_24:2__Np,Cer_AP t17:0_24:2
Cer_AP.t17:0_26:1__Np,Cer_AP t17:0_26:1
Cer_AP.t17:0_26:1__Np,Cer_AP t17:0_26:1
Cer_AP.t17:0_26:2__Np,Cer_AP t17:0_26:2
Cer_AP.t17:1_16:0__Np,Cer_AP t17:1_16:0
Cer_AP.t17:1_16:0__Np,Cer_AP t17:1_16:0
Cer_AP.t18:0_14:0__Np,Cer_AP t18:0_14:0
Cer_AP.t18:0_15:0__Np,Cer_AP t18:0_15:0
Cer_AP.t18:0_16:0__Np,Cer_AP t18:0_16:0
Cer_AP.t18:0_16:0__Np,Cer_AP t18:0_16:0
Cer_AP.t18:0_24:0__Np,Cer_AP t18:0_24:0
Cer_AP.t18:0_24:1__Np,Cer_AP t18:0_24:1
Cer_AP.t18:0_28:2__Np,Cer_AP t18:0_28:2
Cer_AP.t18:0_29:1__Np,Cer_AP t18:0_29:1
Cer_AP.t18:0_32:1__Np,Cer_AP t18:0_32:1
Cer_AP.t18:1_15:0__Np,Cer_AP t18:1_15:0
Cer_AP.t19:0_16:0__Np,Cer_AP t19:0_16:0
Cer_AP.t19:0_24:0__Np,Cer_AP t19:0_24:0
Cer_AP.t20:0_23:0__Np,Cer_AP t20:0_23:0
Cer_AP.t20:0_24:0__Np,Cer_AP t20:0_24:0
Cer_AP.t20:0_30:0__Np,Cer_AP t20:0_30:0
Cer_AP.t21:0_28:0__Np,Cer_AP t21:0_28:0
Cer_AP.t22:0_24:0__Np,Cer_AP t22:0_24:0
Cer_AP.t22:0_26:2__Np,Cer_AP t22:0_26:2
Cer_AP.t22:0_27:0__Np,Cer_AP t22:0_27:0
Cer_AP.t22:0_30:1__Np,Cer_AP t22:0_30:1
Cer_AP.t23:2_23:0__Np,Cer_AP t23:2_23:0
Cer_AP.t24:0_15:0__Np,Cer_AP t24:0_15:0
Cer_AP.t25:1_15:0__Np,Cer_AP t25:1_15:0
Cer_AP.t26:1_18:0__Np,Cer_AP t26:1_18:0
Cer_AP.t29:1_21:0__Np,Cer_AP t29:1_21:0
Cer_AP.t30:0__Np,Cer_AP t30:0
Cer_AP.t30:0_25:0__Np,Cer_AP t30:0_25:0
Cer_AP.t32:1__Np,Cer_AP t32:1
Cer_AP.t32:1__Np,Cer_AP t32:1
Cer_AP.t33:0__Np,Cer_AP t33:0
Cer_AP.t33:1__Np,Cer_AP t33:1
Cer_AP.t33:1__Np,Cer_AP t33:1
Cer_AP.t33:1_1__Np,Cer_AP t33:1_1
Cer_AP.t34:0__Np,Cer_AP t34:0
Cer_AP.t34:1__Np,Cer_AP t34:1
Cer_AP.t34:1__Np,Cer_AP t34:1
Cer_AP.t36:0__Np,Cer_AP t36:0
Cer_AP.t37:0__Np,Cer_AP t37:0
Cer_AP.t37:0_1__Np,Cer_AP t37:0_1
Cer_AP.t38:0__Np,Cer_AP t38:0
Cer_AP.t38:0__Np,Cer_AP t38:0
Cer_AP.t38:0_1__Np,Cer_AP t38:0_1
Cer_AP.t39:0__Np,Cer_AP t39:0
Cer_AP.t39:0__Np,Cer_AP t39:0
Cer_AP.t39:1__Np,Cer_AP t39:1
Cer_AP.t39:1__Np,Cer_AP t39:1
Cer_AP.t40:0__Np,Cer_AP t40:0
Cer_AP.t40:0__Np,Cer_AP t40:0
Cer_AP.t40:1__Np,Cer_AP t40:1
Cer_AP.t40:1__Np,Cer_AP t40:1
Cer_AP.t40:1_1__Np,Cer_AP t40:1_1
Cer_AP.t42:0__Np,Cer_AP t42:0
Cer_AP.t42:0_1__Np,Cer_AP t42:0_1
Cer_AP.t42:1__Np,Cer_AP t42:1
Cer_AP.t43:0__Np,Cer_AP t43:0
Cer_AP.t44:1__Np,Cer_AP t44:1
Cer_AP.t44:1__Np,Cer_AP t44:1
Cer_AP.t45:1__Np,Cer_AP t45:1
Cer_AP.t45:1_1__Np,Cer_AP t45:1_1
Cer_AP.t46:0__Np,Cer_AP t46:0
Cer_AP.t46:1__Np,Cer_AP t46:1
Cer_AP.t46:2__Np,Cer_AP t46:2
Cer_AP.t47:0__Np,Cer_AP t47:0
Cer_AP.t47:0__Np,Cer_AP t47:0
Cer_AP.t48:0__Np,Cer_AP t48:0
Cer_AP.t48:0__Np,Cer_AP t48:0
Cer_AP.t48:0_1__Np,Cer_AP t48:0_1
Cer_AP.t48:1__Np,Cer_AP t48:1
Cer_AP.t50:0__Np,Cer_AP t50:0
Cer_AP.t50:0__Np,Cer_AP t50:0
Cer_AP.t51:0__Np,Cer_AP t51:0
Cer_AP.t52:1__Np,Cer_AP t52:1
Cer_AP.t52:2__Np,Cer_AP t52:2
Cer_AS.d14:1_14:0__Np,Cer_AS d14:1_14:0
Cer_AS.d16:1_13:0__Np,Cer_AS d16:1_13:0
Cer_AS.d16:1_13:0__Np,Cer_AS d16:1_13:0
Cer_AS.d16:1_14:0__Np,Cer_AS d16:1_14:0
Cer_AS.d16:1_14:0__Np,Cer_AS d16:1_14:0
Cer_AS.d16:1_14:0_1__Np,Cer_AS d16:1_14:0_1
Cer_AS.d16:1_16:0__Np,Cer_AS d16:1_16:0
Cer_AS.d16:1_16:0__Np,Cer_AS d16:1_16:0
Cer_AS.d16:1_17:0__Np,Cer_AS d16:1_17:0
Cer_AS.d16:1_20:0__Np,Cer_AS d16:1_20:0
Cer_AS.d16:1_24:0__Np,Cer_AS d16:1_24:0
Cer_AS.d17:1_14:0__Np,Cer_AS d17:1_14:0
Cer_AS.d17:1_16:0__Np,Cer_AS d17:1_16:0
Cer_AS.d17:1_16:0__Np,Cer_AS d17:1_16:0
Cer_AS.d17:1_16:0_1__Np,Cer_AS d17:1_16:0_1
Cer_AS.d17:1_32:1__Np,Cer_AS d17:1_32:1
Cer_AS.d17:1_32:1__Np,Cer_AS d17:1_32:1
Cer_AS.d18:1_16:0__Np,Cer_AS d18:1_16:0
Cer_AS.d18:1_16:0__Np,Cer_AS d18:1_16:0
Cer_AS.d18:2_20:0__Np,Cer_AS d18:2_20:0
Cer_AS.d19:1_16:0__Np,Cer_AS d19:1_16:0
Cer_AS.d19:1_16:0__Np,Cer_AS d19:1_16:0
Cer_AS.d20:1_23:0__Np,Cer_AS d20:1_23:0
Cer_AS.d28:1_20:0__Np,Cer_AS d28:1_20:0
Cer_AS.d29:1_15:0__Np,Cer_AS d29:1_15:0
Cer_AS.d31:1__Np,Cer_AS d31:1
Cer_AS.d32:1__Np,Cer_AS d32:1
Cer_AS.d32:2__Np,Cer_AS d32:2
Cer_AS.d34:1__Np,Cer_AS d34:1
Cer_AS.d34:1__Np,Cer_AS d34:1
Cer_AS.d34:1_1__Np,Cer_AS d34:1_1
Cer_AS.d34:2__Np,Cer_AS d34:2
Cer_AS.d34:2__Np,Cer_AS d34:2
Cer_AS.d35:1__Np,Cer_AS d35:1
Cer_AS.d35:1__Np,Cer_AS d35:1
Cer_AS.d35:1_1__Np,Cer_AS d35:1_1
Cer_AS.d36:1__Np,Cer_AS d36:1
Cer_AS.d36:1__Np,Cer_AS d36:1
Cer_AS.d36:1_1__Np,Cer_AS d36:1_1
Cer_AS.d36:1_1__Np,Cer_AS d36:1_1
Cer_AS.d37:1__Np,Cer_AS d37:1
Cer_AS.d37:1__Np,Cer_AS d37:1
Cer_AS.d37:1_1__Np,Cer_AS d37:1_1
Cer_AS.d37:1_2__Np,Cer_AS d37:1_2
Cer_AS.d38:1__Np,Cer_AS d38:1
Cer_AS.d38:1__Np,Cer_AS d38:1
Cer_AS.d38:1_1__Np,Cer_AS d38:1_1
Cer_AS.d39:1__Np,Cer_AS d39:1
Cer_AS.d39:1__Np,Cer_AS d39:1
Cer_AS.d40:1__Np,Cer_AS d40:1
Cer_AS.d40:1__Np,Cer_AS d40:1
Cer_AS.d40:1_1__Np,Cer_AS d40:1_1
Cer_AS.d40:1_1__Np,Cer_AS d40:1_1
Cer_AS.d40:2__Np,Cer_AS d40:2
Cer_AS.d40:2__Np,Cer_AS d40:2
Cer_AS.d41:1__Np,Cer_AS d41:1
Cer_AS.d41:1__Np,Cer_AS d41:1
Cer_AS.d41:1_1__Np,Cer_AS d41:1_1
Cer_AS.d42:1__Np,Cer_AS d42:1
Cer_AS.d42:1__Np,Cer_AS d42:1
Cer_AS.d42:2__Np,Cer_AS d42:2
Cer_AS.d42:2__Np,Cer_AS d42:2
Cer_AS.d42:2_1__Np,Cer_AS d42:2_1
Cer_AS.d43:1__Np,Cer_AS d43:1
Cer_AS.d43:1__Np,Cer_AS d43:1
Cer_AS.d43:1_1__Np,Cer_AS d43:1_1
Cer_AS.d44:1__Np,Cer_AS d44:1
Cer_AS.d44:2__Np,Cer_AS d44:2
Cer_AS.d44:2__Np,Cer_AS d44:2
Cer_AS.d46:1__Np,Cer_AS d46:1
Cer_AS.d46:2__Np,Cer_AS d46:2
Cer_AS.d47:1__Np,Cer_AS d47:1
Cer_AS.d48:1__Np,Cer_AS d48:1
Cer_AS.d48:1__Np,Cer_AS d48:1
Cer_AS.d49:1__Np,Cer_AS d49:1
Cer_AS.d50:2__Np,Cer_AS d50:2
Cer_AS.d51:1__Np,Cer_AS d51:1
Cer_AS.d51:1__Np,Cer_AS d51:1
Cer_AS.d52:2__Np,Cer_AS d52:2
Cer_AS.d52:2_1__Np,Cer_AS d52:2_1
Cer_BDS.d16:0_19:0__Np,Cer_BDS d16:0_19:0
Cer_BDS.d16:0_20:0__Np,Cer_BDS d16:0_20:0
Cer_BDS.d16:0_24:0__Np,Cer_BDS d16:0_24:0
Cer_BDS.d17:0_16:0__Np,Cer_BDS d17:0_16:0
Cer_BDS.d17:0_20:0__Np,Cer_BDS d17:0_20:0
Cer_BDS.d18:0_16:0__Np,Cer_BDS d18:0_16:0
Cer_BDS.d18:0_17:0__Np,Cer_BDS d18:0_17:0
Cer_BDS.d18:0_20:0__Np,Cer_BDS d18:0_20:0
Cer_BDS.d19:0_16:0__Np,Cer_BDS d19:0_16:0
Cer_BDS.d28:0_20:0__Np,Cer_BDS d28:0_20:0
Cer_BDS.d50:0__Np,Cer_BDS d50:0
Cer_BS.d16:1_15:0__Np,Cer_BS d16:1_15:0
Cer_BS.d16:1_15:0__Np,Cer_BS d16:1_15:0
Cer_BS.d16:1_16:0__Np,Cer_BS d16:1_16:0
Cer_BS.d16:1_16:0__Np,Cer_BS d16:1_16:0
Cer_BS.d16:1_19:0__Np,Cer_BS d16:1_19:0
Cer_BS.d16:1_19:0__Np,Cer_BS d16:1_19:0
Cer_BS.d16:1_21:0__Np,Cer_BS d16:1_21:0
Cer_BS.d16:1_23:0__Np,Cer_BS d16:1_23:0
Cer_BS.d16:1_23:1__Np,Cer_BS d16:1_23:1
Cer_BS.d16:1_24:0__Np,Cer_BS d16:1_24:0
Cer_BS.d16:1_26:1__Np,Cer_BS d16:1_26:1
Cer_BS.d17:1_16:0__Np,Cer_BS d17:1_16:0
Cer_BS.d17:1_19:0__Np,Cer_BS d17:1_19:0
Cer_BS.d17:1_20:0__Np,Cer_BS d17:1_20:0
Cer_BS.d17:1_24:0__Np,Cer_BS d17:1_24:0
Cer_BS.d18:1_16:0__Np,Cer_BS d18:1_16:0
Cer_BS.d18:1_19:0__Np,Cer_BS d18:1_19:0
Cer_BS.d19:1_20:0__Np,Cer_BS d19:1_20:0
Cer_BS.d19:1_24:0__Np,Cer_BS d19:1_24:0
Cer_BS.d48:1__Np,Cer_BS d48:1
Cer_EODS.d14:0_16:2_16:0__Np,Cer_EODS d14:0_16:2_16:0
Cer_EODS.d15:0_16:2_18:0__Np,Cer_EODS d15:0_16:2_18:0
Cer_EODS.d15:0_19:0_16:0__Np,Cer_EODS d15:0_19:0_16:0
Cer_EODS.d17:0_15:1_22:0__Np,Cer_EODS d17:0_15:1_22:0
Cer_EODS.d17:0_16:0_22:0__Np,Cer_EODS d17:0_16:0_22:0
Cer_EODS.d17:0_21:0_16:0__Np,Cer_EODS d17:0_21:0_16:0
Cer_EODS.d17:0_21:1_22:0__Np,Cer_EODS d17:0_21:1_22:0
Cer_EODS.d18:0_15:1_20:0__Np,Cer_EODS d18:0_15:1_20:0
Cer_EODS.d18:0_34:2_18:2__Np,Cer_EODS d18:0_34:2_18:2
Cer_EODS.d19:0_13:1_16:1__Np,Cer_EODS d19:0_13:1_16:1
Cer_EODS.d19:0_15:1_16:1__Np,Cer_EODS d19:0_15:1_16:1
Cer_EODS.d23:0_27:1_22:0__Np,Cer_EODS d23:0_27:1_22:0
Cer_EODS.d24:0_22:0_22:0__Np,Cer_EODS d24:0_22:0_22:0
Cer_EODS.d46:1__Np,Cer_EODS d46:1
Cer_EODS.d48:1__Np,Cer_EODS d48:1
Cer_EODS.d48:2__Np,Cer_EODS d48:2
Cer_EODS.d52:0__Np,Cer_EODS d52:0
Cer_EODS.d52:1__Np,Cer_EODS d52:1
Cer_EODS.d54:0__Np,Cer_EODS d54:0
Cer_EODS.d54:0__Np,Cer_EODS d54:0
Cer_EODS.d55:0__Np,Cer_EODS d55:0
Cer_EODS.d55:1__Np,Cer_EODS d55:1
Cer_EODS.d55:1__Np,Cer_EODS d55:1
Cer_EODS.d56:0__Np,Cer_EODS d56:0
Cer_EODS.d60:0__Np,Cer_EODS d60:0
Cer_EODS.d63:3__Np,Cer_EODS d63:3
Cer_EODS.d65:3__Np,Cer_EODS d65:3
Cer_EODS.d68:4__Np,Cer_EODS d68:4
Cer_EODS.d69:3__Np,Cer_EODS d69:3
Cer_EODS.d69:4__Np,Cer_EODS d69:4
Cer_EODS.d72:1__Np,Cer_EODS d72:1
Cer_EOS.d18:1_30:0_18:2__Np,Cer_EOS d18:1_30:0_18:2
Cer_EOS.d20:1_30:1_18:2__Np,Cer_EOS d20:1_30:1_18:2
Cer_EOS.d21:1_25:1_18:2__Np,Cer_EOS d21:1_25:1_18:2
Cer_EOS.d21:1_29:0_18:2__Np,Cer_EOS d21:1_29:0_18:2
Cer_EOS.d21:1_32:1_18:2__Np,Cer_EOS d21:1_32:1_18:2
Cer_EOS.d25:1_21:0_18:2__Np,Cer_EOS d25:1_21:0_18:2
Cer_EOS.d26:1_23:0_18:2__Np,Cer_EOS d26:1_23:0_18:2
Cer_EOS.d49:2__Np,Cer_EOS d49:2
Cer_EOS.d53:1__Np,Cer_EOS d53:1
Cer_EOS.d56:1__Np,Cer_EOS d56:1
Cer_EOS.d56:1__Np,Cer_EOS d56:1
