Pig,DNA extraction Batch,Sample,DNAconc (ng/µl) ,PmaxxGroup,Group,TimeGroup,WaterCHG,Timepoint,Time,PMAxx
P3,,3-W24p-3,4.24,Waterp,Water-24-PMAxx,W-24,Water,24 hr,24,PMAxx
P3,,3-W48p-1,4.33,Waterp,Water-48-PMAxx,W-48,Water,48 hr,48,PMAxx
P3,,3-W48p-2,4.51,Waterp,Water-48-PMAxx,W-48,Water,48 hr,48,PMAxx
P3,,3-W48p-3,4.2,Waterp,Water-48-PMAxx,W-48,Water,48 hr,48,PMAxx
P3,,3-WBp-1,2.15,Waterp,Water-B-PMAxx,W-B,Water,Baseline,-12,PMAxx
P3,,3-WBp-2,0.517,Waterp,Water-B-PMAxx,W-B,Water,Baseline,-12,PMAxx
P1,1,1-C0-1,4.21,CHG,CHG-0,C-0,CHG,0 hr,0,Untreated
P1,1,1-C0-2,3.45,CHG,CHG-0,C-0,CHG,0 hr,0,Untreated
P1,1,1-C0-3,3.33,CHG,CHG-0,C-0,CHG,0 hr,0,Untreated
P1,2,1-C06-1,4.34,CHG,CHG-6,C-6,CHG,6 hr,6,Untreated
P1,2,1-C06-2,3.77,CHG,CHG-6,C-6,CHG,6 hr,6,Untreated
P1,2,1-C06-3,3.73,CHG,CHG-6,C-6,CHG,6 hr,6,Untreated
P1,2,1-C12-1,3.01,CHG,CHG-12,C-12,CHG,12 hr,12,Untreated
P1,3,1-C12-2,3.76,CHG,CHG-12,C-12,CHG,12 hr,12,Untreated
P1,3,1-C12-3,4.12,CHG,CHG-12,C-12,CHG,12 hr,12,Untreated
P1,3,1-C24-1,5.42,CHG,CHG-24,C-24,CHG,24 hr,24,Untreated
P1,3,1-C24-2,4.6,CHG,CHG-24,C-24,CHG,24 hr,24,Untreated
P1,3,1-C24-3,4.41,CHG,CHG-24,C-24,CHG,24 hr,24,Untreated
P1,5,1-C48-1,5.69,CHG,CHG-48,C-48,CHG,48 hr,48,Untreated
P1,5,1-C48-2,4.83,CHG,CHG-48,C-48,CHG,48 hr,48,Untreated
P1,5,1-C48-3,4.67,CHG,CHG-48,C-48,CHG,48 hr,48,Untreated
P1,1,1-CB-1,4.26,CHG,CHG-B,C-B,CHG,Baseline,-12,Untreated
P1,1,1-F0-1,4.43,Full,Full-0,F-0,Full,0 hr,0,Untreated
P1,1,1-F0-2,3.89,Full,Full-0,F-0,Full,0 hr,0,Untreated
P1,1,1-F0-3,4.01,Full,Full-0,F-0,Full,0 hr,0,Untreated
P1,2,1-F06-1,3.46,Full,Full-6,F-6,Full,6 hr,6,Untreated
P1,2,1-F06-2,3.87,Full,Full-6,F-6,Full,6 hr,6,Untreated
P1,2,1-F06-3,3.35,Full,Full-6,F-6,Full,6 hr,6,Untreated
P1,3,1-F12-1,4.16,Full,Full-12,F-12,Full,12 hr,12,Untreated
P1,3,1-F12-2,4.05,Full,Full-12,F-12,Full,12 hr,12,Untreated
P1,3,1-F12-3,4.73,Full,Full-12,F-12,Full,12 hr,12,Untreated
P1,4,1-F24-1,4.31,Full,Full-24,F-24,Full,24 hr,24,Untreated
P1,4,1-F24-2,4.84,Full,Full-24,F-24,Full,24 hr,24,Untreated
P1,4,1-F24-3,5.02,Full,Full-24,F-24,Full,24 hr,24,Untreated
P1,5,1-F48-1,4.24,Full,Full-48,F-48,Full,48 hr,48,Untreated
P1,5,1-F48-2,4.78,Full,Full-48,F-48,Full,48 hr,48,Untreated
P1,5,1-F48-3,4.03,Full,Full-48,F-48,Full,48 hr,48,Untreated
P1,1,1-FB-1,5.76,Full,Full-B,F-B,Full,Baseline,-12,Untreated
P1,1,1-W0-1,5.95,Water,Water-0,W-0,Water,0 hr,0,Untreated
P1,1,1-W0-2,5.31,Water,Water-0,W-0,Water,0 hr,0,Untreated
P1,1,1-W0-3,4.33,Water,Water-0,W-0,Water,0 hr,0,Untreated
P1,2,1-W06-1,4.17,Water,Water-6,W-6,Water,6 hr,6,Untreated
P1,2,1-W06-2,4.5,Water,Water-6,W-6,Water,6 hr,6,Untreated
P1,2,1-W06-3,4.12,Water,Water-6,W-6,Water,6 hr,6,Untreated
P1,2,1-W12-1,4.3,Water,Water-12,W-12,Water,12 hr,12,Untreated
P1,3,1-W12-2,5.2,Water,Water-12,W-12,Water,12 hr,12,Untreated
P1,3,1-W12-3,5.37,Water,Water-12,W-12,Water,12 hr,12,Untreated
P1,4,1-W24-1,5.81,Water,Water-24,W-24,Water,24 hr,24,Untreated
P1,4,1-W24-2,5.71,Water,Water-24,W-24,Water,24 hr,24,Untreated
P1,4,1-W24-3,5.27,Water,Water-24,W-24,Water,24 hr,24,Untreated
P1,5,1-W48-1,5.5,Water,Water-48,W-48,Water,48 hr,48,Untreated
P1,5,1-W48-2,5.47,Water,Water-48,W-48,Water,48 hr,48,Untreated
P1,5,1-W48-3,5.08,Water,Water-48,W-48,Water,48 hr,48,Untreated
P1,1,1-WB-1,4.32,Water,Water-B,W-B,Water,Baseline,-12,Untreated
P2,,2-C0-1,2.66,CHG,CHG-0,C-0,CHG,0 hr,0,Untreated
P2,,2-C0-2,2.29,CHG,CHG-0,C-0,CHG,0 hr,0,Untreated
P2,,2-C0-3,3.17,CHG,CHG-0,C-0,CHG,0 hr,0,Untreated
P2,,2-C06-1,3.27,CHG,CHG-06,C-06,CHG,6 hr,6,Untreated
P2,,2-C06-2,2.99,CHG,CHG-06,C-06,CHG,6 hr,6,Untreated
P2,,2-C06-3,3.38,CHG,CHG-06,C-06,CHG,6 hr,6,Untreated
P2,,2-C12-1,3.88,CHG,CHG-12,C-12,CHG,12 hr,12,Untreated
P2,,2-C12-2,3.8,CHG,CHG-12,C-12,CHG,12 hr,12,Untreated
P2,,2-C12-3,4.22,CHG,CHG-12,C-12,CHG,12 hr,12,Untreated
P2,,2-C24-1,4.52,CHG,CHG-24,C-24,CHG,24 hr,24,Untreated
P2,,2-C24-2,4.62,CHG,CHG-24,C-24,CHG,24 hr,24,Untreated
P2,,2-C24-3,4.25,CHG,CHG-24,C-24,CHG,24 hr,24,Untreated
P2,,2-C48-1,4.16,CHG,CHG-48,C-48,CHG,48 hr,48,Untreated
P2,,2-C48-2,4.54,CHG,CHG-48,C-48,CHG,48 hr,48,Untreated
P2,,2-C48-3,4.36,CHG,CHG-48,C-48,CHG,48 hr,48,Untreated
P2,,2-CB-1,3.87,CHG,CHG-B,C-B,CHG,Baseline,-12,Untreated
P2,,2-CB-2,3.08,CHG,CHG-B,C-B,CHG,Baseline,-12,Untreated
P2,,2-F0-1,2.51,Full,Full-0,F-0,Full,0 hr,0,Untreated
P2,,2-F0-2,2.57,Full,Full-0,F-0,Full,0 hr,0,Untreated
P2,,2-F0-3,2.18,Full,Full-0,F-0,Full,0 hr,0,Untreated
P2,,2-F06-1,2.47,Full,Full-06,F-06,Full,6 hr,6,Untreated
P2,,2-F06-2,3.16,Full,Full-06,F-06,Full,6 hr,6,Untreated
P2,,2-F06-3,2.74,Full,Full-06,F-06,Full,6 hr,6,Untreated
P2,,2-F12-1,4.2,Full,Full-12,F-12,Full,12 hr,12,Untreated
P2,,2-F12-2,3.84,Full,Full-12,F-12,Full,12 hr,12,Untreated
P2,,2-F12-3,2.94,Full,Full-12,F-12,Full,12 hr,12,Untreated
P2,,2-F24-1,4.38,Full,Full-24,F-24,Full,24 hr,24,Untreated
P2,,2-F24-2,3.62,Full,Full-24,F-24,Full,24 hr,24,Untreated
P2,,2-F24-3,4.41,Full,Full-24,F-24,Full,24 hr,24,Untreated
P2,,2-F48-1,4.11,Full,Full-48,F-48,Full,48 hr,48,Untreated
P2,,2-F48-2,4.32,Full,Full-48,F-48,Full,48 hr,48,Untreated
P2,,2-F48-3,4.06,Full,Full-48,F-48,Full,48 hr,48,Untreated
P2,,2-FB-1,2.51,Full,Full-B,F-B,Full,Baseline,-12,Untreated
P2,,2-FB-2,3.75,Full,Full-B,F-B,Full,Baseline,-12,Untreated
P2,,2-W0-1,3.13,Water,Water-0,W-0,Water,0 hr,0,Untreated
P2,,2-W0-2,3.77,Water,Water-0,W-0,Water,0 hr,0,Untreated
P2,,2-W0-3,2.69,Water,Water-0,W-0,Water,0 hr,0,Untreated
P2,,2-W06-1,4.03,Water,Water-06,W-06,Water,6 hr,6,Untreated
P2,,2-W06-2,4.68,Water,Water-06,W-06,Water,6 hr,6,Untreated
P2,,2-W06-3,3.55,Water,Water-06,W-06,Water,6 hr,6,Untreated
P2,,2-W12-1,4.72,Water,Water-12,W-12,Water,12 hr,12,Untreated
P2,,2-W12-2,4.83,Water,Water-12,W-12,Water,12 hr,12,Untreated
P2,,2-W12-3,4.43,Water,Water-12,W-12,Water,12 hr,12,Untreated
P2,,2-W24-1,4.82,Water,Water-24,W-24,Water,24 hr,24,Untreated
P2,,2-W24-2,4.73,Water,Water-24,W-24,Water,24 hr,24,Untreated
P2,,2-W24-3,5.02,Water,Water-24,W-24,Water,24 hr,24,Untreated
P2,,2-W48-1,5.28,Water,Water-48,W-48,Water,48 hr,48,Untreated
P2,,2-W48-2,5.02,Water,Water-48,W-48,Water,48 hr,48,Untreated
P2,,2-W48-3,4.76,Water,Water-48,W-48,Water,48 hr,48,Untreated
P2,,2-WB-1,2.73,Water,Water-B,W-B,Water,Baseline,-12,Untreated
P2,,2-WB-2,3.17,Water,Water-B,W-B,Water,Baseline,-12,Untreated
P3,,3-C0-1,2.24,CHG,CHG-0,C-0,CHG,0 hr,0,Untreated
P3,,3-C0-2,2.73,CHG,CHG-0,C-0,CHG,0 hr,0,Untreated
P3,,3-C0-3,3.06,CHG,CHG-0,C-0,CHG,0 hr,0,Untreated
P3,,3-C06-1,2.85,CHG,CHG-06,C-06,CHG,6 hr,6,Untreated
P3,,3-C06-2,2.33,CHG,CHG-06,C-06,CHG,6 hr,6,Untreated
P3,,3-C06-3,2.79,CHG,CHG-06,C-06,CHG,6 hr,6,Untreated
P3,,3-C12-1,3.71,CHG,CHG-12,C-12,CHG,12 hr,12,Untreated
P3,,3-C12-2,3.39,CHG,CHG-12,C-12,CHG,12 hr,12,Untreated
P3,,3-C12-3,3.66,CHG,CHG-12,C-12,CHG,12 hr,12,Untreated
P3,,3-C24-1,3.65,CHG,CHG-24,C-24,CHG,24 hr,24,Untreated
P3,,3-C24-2,4.15,CHG,CHG-24,C-24,CHG,24 hr,24,Untreated
P3,,3-C24-3,4.26,CHG,CHG-24,C-24,CHG,24 hr,24,Untreated
P3,,3-C48-1,4.26,CHG,CHG-48,C-48,CHG,48 hr,48,Untreated
P3,,3-C48-2,3.68,CHG,CHG-48,C-48,CHG,48 hr,48,Untreated
P3,,3-C48-3,4.48,CHG,CHG-48,C-48,CHG,48 hr,48,Untreated
P3,,3-CB-1,2.42,CHG,CHG-B,C-B,CHG,Baseline,-12,Untreated
P3,,3-CB-2,3.04,CHG,CHG-B,C-B,CHG,Baseline,-12,Untreated
P3,,3-F0-1,2.9,Full,Full-0,F-0,Full,0 hr,0,Untreated
P3,,3-F0-2,2.33,Full,Full-0,F-0,Full,0 hr,0,Untreated
p3,,3-F0-3,2.58,Full,Full-0,F-0,Full,0 hr,0,Untreated
P3,,3-F06-1,2.43,Full,Full-06,F-06,Full,6 hr,6,Untreated
P3,,3-F06-2,2.64,Full,Full-06,F-06,Full,6 hr,6,Untreated
P3,,3-F06-3,2.52,Full,Full-06,F-06,Full,6 hr,6,Untreated
P3,,3-F12-1,3.24,Full,Full-12,F-12,Full,12 hr,12,Untreated
P3,,3-F12-2,3.58,Full,Full-12,F-12,Full,12 hr,12,Untreated
P3,,3-F12-3,3.42,Full,Full-12,F-12,Full,12 hr,12,Untreated
P3,,3-F24-1,3.99,Full,Full-24,F-24,Full,24 hr,24,Untreated
P3,,3-F24-2,3.45,Full,Full-24,F-24,Full,24 hr,24,Untreated
P3,,3-F24-3,4.22,Full,Full-24,F-24,Full,24 hr,24,Untreated
P3,,3-F48-1,3.93,Full,Full-48,F-48,Full,48 hr,48,Untreated
P3,,3-F48-2,4.21,Full,Full-48,F-48,Full,48 hr,48,Untreated
P3,,3-F48-3,4.15,Full,Full-48,F-48,Full,48 hr,48,Untreated
P3,,3-FB-1,3.1,Full,Full-B,F-B,Full,Baseline,-12,Untreated
P3,,3-FB-2,2.65,Full,Full-B,F-B,Full,Baseline,-12,Untreated
P3,,3-W0-1,3.13,Water,Water-0,W-0,Water,0 hr,0,Untreated
P3,,3-W0-2,2.82,Water,Water-0,W-0,Water,0 hr,0,Untreated
P3,,3-W0-3,3.22,Water,Water-0,W-0,Water,0 hr,0,Untreated
P3,,3-W06-1,3.29,Water,Water-06,W-06,Water,6 hr,6,Untreated
P3,,3-W06-2,3.47,Water,Water-06,W-06,Water,6 hr,6,Untreated
P3,,3-W06-3,3.69,Water,Water-06,W-06,Water,6 hr,6,Untreated
P3,,3-W12-1,4.06,Water,Water-12,W-12,Water,12 hr,12,Untreated
P3,,3-W12-2,3.87,Water,Water-12,W-12,Water,12 hr,12,Untreated
P3,,3-W12-3,4.15,Water,Water-12,W-12,Water,12 hr,12,Untreated
P3,,3-W24-1,4.45,Water,Water-24,W-24,Water,24 hr,24,Untreated
P3,,3-W24-2,4.32,Water,Water-24,W-24,Water,24 hr,24,Untreated
P3,,3-W24-3,4.58,Water,Water-24,W-24,Water,24 hr,24,Untreated
P3,,3-W48-1,4.61,Water,Water-48,W-48,Water,48 hr,48,Untreated
P3,,3-W48-2,4.73,Water,Water-48,W-48,Water,48 hr,48,Untreated
P3,,3-W48-3,4.29,Water,Water-48,W-48,Water,48 hr,48,Untreated
P3,,3-WB-1,3.03,Water,Water-B,W-B,Water,Baseline,-12,Untreated
P3,,3-WB-2,2.91,Water,Water-B,W-B,Water,Baseline,-12,Untreated